Tag_ID	article_id
419	16
387	16
636	16
769	16
396	16
843	16
442	16
938	16
466	16
531	16
333	16
895	16
260	16
98	16
734	16
406	16
650	16
960	16
429	16
145	16
987	16
223	16
86	16
264	16
887	16
985	16
305	16
984	21
986	21
689	21
350	21
309	21
766	21
643	21
67	21
421	21
401	21
365	21
588	21
272	41
255	41
890	41
935	41
613	41
711	41
498	41
220	41
559	41
797	41
287	41
143	41
236	41
465	41
698	41
629	41
752	41
863	41
567	41
544	41
560	41
11	41
90	41
533	41
36	41
386	41
99	41
477	41
727	41
348	41
403	41
129	41
368	41
283	41
818	41
64	41
614	41
539	41
216	41
887	41
306	41
490	41
288	41
910	41
716	41
901	41
555	41
475	41
621	41
163	41
326	41
628	41
825	41
231	41
268	41
144	41
429	41
735	41
115	41
894	41
132	41
973	41
423	41
335	41
923	41
524	41
50	41
215	41
399	41
183	41
414	41
473	41
476	41
166	41
207	41
879	41
676	41
260	41
658	41
467	41
289	41
27	41
448	41
16	41
983	41
891	41
374	41
318	41
433	41
904	78
853	78
815	78
109	78
548	78
609	113
203	113
338	113
707	113
605	113
148	113
222	113
182	113
839	113
133	113
198	113
9	113
270	113
375	113
905	113
872	113
668	114
296	114
142	114
254	114
545	114
500	114
518	114
439	114
838	120
745	120
112	120
258	120
364	120
738	120
773	120
248	120
91	120
854	120
793	121
536	121
886	121
33	121
73	121
570	121
988	121
632	133
604	133
300	133
313	166
70	166
940	166
989	167
909	190
939	190
320	190
113	190
521	190
171	190
97	190
542	190
292	190
301	190
125	190
33	190
164	190
717	190
831	190
290	190
546	190
873	190
626	190
671	190
936	190
574	190
732	190
176	190
662	190
455	190
355	190
146	190
764	190
184	190
701	190
575	190
788	190
690	190
700	190
796	190
261	190
725	190
897	190
271	190
485	190
359	190
358	190
949	190
62	190
909	191
939	191
320	191
113	191
521	191
171	191
97	191
542	191
292	191
301	191
125	191
33	191
164	191
717	191
831	191
290	191
546	191
873	191
626	191
671	191
936	191
574	191
732	191
176	191
662	191
455	191
355	191
146	191
764	191
184	191
701	191
575	191
788	191
690	191
700	191
796	191
261	191
725	191
897	191
271	191
485	191
359	191
358	191
949	191
62	191
620	196
683	196
960	196
169	196
582	196
554	199
794	199
478	199
280	199
493	199
798	199
639	199
874	199
154	199
771	199
334	199
561	199
841	199
766	199
917	199
256	199
978	199
421	199
227	199
1	199
977	199
667	200
889	200
750	200
447	200
503	200
817	200
766	200
421	200
452	200
476	200
802	205
157	205
406	205
798	205
553	205
981	205
766	205
954	205
663	209
29	209
244	209
378	209
826	209
44	209
766	209
75	209
523	209
100	209
307	209
718	209
590	209
584	209
409	218
934	218
487	218
317	218
869	218
691	218
185	218
806	218
46	218
976	218
740	218
754	218
971	218
230	218
547	218
556	218
220	218
