Meta_KW_ID	article_id
0	0
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
109	12
58	12
131	12
133	12
12	12
45	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	25
0	26
0	27
0	28
0	29
0	30
0	31
0	32
0	33
0	34
0	35
0	36
0	37
0	38
0	39
0	40
0	41
0	42
0	43
0	44
0	45
0	46
0	47
0	48
0	49
0	50
4	51
93	51
115	52
151	52
107	52
80	52
135	52
84	52
186	52
26	52
21	52
116	52
148	52
174	52
1	53
99	53
52	53
149	53
92	53
34	53
47	53
145	53
29	53
165	53
108	53
135	53
19	53
73	53
75	53
122	53
77	53
164	53
180	53
106	53
126	53
151	54
186	54
51	54
38	54
106	54
126	54
0	55
0	56
171	57
85	57
102	57
50	57
92	57
185	57
145	57
180	57
148	57
174	57
4	58
93	58
71	59
113	59
163	59
173	59
159	59
142	59
57	59
148	59
174	59
36	60
23	60
91	60
78	60
120	60
106	60
126	60
0	61
0	62
0	63
0	64
0	65
4	66
93	66
48	67
102	67
150	67
66	67
127	67
53	67
42	67
30	67
81	67
32	67
106	67
126	67
0	68
0	69
4	70
93	70
0	71
0	72
37	73
166	73
13	73
56	73
26	73
168	73
44	73
106	73
126	73
85	74
11	74
148	74
174	74
0	75
0	76
0	77
0	78
138	79
172	79
103	79
9	79
39	79
169	79
174	79
0	80
0	81
117	82
101	82
95	82
100	82
129	82
54	82
170	82
154	82
168	82
44	82
148	82
174	82
175	83
178	83
47	83
145	83
41	83
98	83
180	83
148	83
174	83
0	84
0	85
152	86
59	86
151	86
175	87
153	87
3	87
158	87
155	87
145	87
186	87
148	87
174	87
0	88
152	89
145	89
29	89
156	89
60	89
164	89
106	89
126	89
0	90
0	91
0	92
0	93
86	94
69	94
137	94
46	94
2	94
14	95
76	95
22	95
90	95
186	95
122	95
123	95
148	95
174	95
0	96
0	97
0	98
0	99
0	100
0	101
0	102
0	103
0	104
0	105
0	106
0	107
0	108
0	109
0	110
0	111
0	112
0	113
0	114
0	115
0	116
0	117
0	118
0	119
0	120
0	121
0	122
0	123
0	124
0	125
0	126
0	127
0	128
0	129
0	130
0	131
0	132
0	133
0	134
0	135
0	136
0	137
0	138
0	139
0	140
0	141
0	142
0	143
0	144
0	145
0	146
0	147
0	148
0	149
0	150
0	151
0	152
0	153
0	154
0	155
0	156
0	157
0	158
0	159
0	160
0	161
0	162
0	163
0	164
0	165
0	166
0	167
0	168
0	169
0	170
0	171
0	172
0	173
0	174
0	175
94	176
27	176
31	176
27	176
140	176
94	176
128	176
5	176
0	177
0	178
0	179
0	180
0	181
121	182
184	182
144	182
177	182
68	182
10	182
139	182
143	182
0	183
183	184
8	185
179	185
118	185
87	185
182	185
141	185
67	185
20	185
0	186
0	187
0	188
0	189
72	190
49	190
72	191
49	191
0	192
0	193
88	194
0	195
0	196
0	197
0	198
0	199
0	200
0	201
0	202
0	203
0	204
0	205
0	206
0	207
0	208
0	209
0	210
0	211
0	212
0	213
0	214
0	215
0	216
0	217
0	218
0	219
0	220
111	220
28	220
0	221
104	222
136	222
18	222
97	222
40	222
146	222
130	222
134	222
89	222
0	223
0	224
0	225
0	226
0	227
0	228
0	229
0	230
0	231
0	232
0	233
0	234
0	235
0	236
0	237
160	238
16	238
147	238
0	239
83	240
79	240
161	240
33	240
7	241
132	241
124	241
176	241
25	241
112	241
96	242
58	242
114	242
62	242
0	243
64	244
110	244
167	244
63	244
26	244
162	244
116	244
148	244
174	244
0	245
0	246
17	247
43	247
15	247
181	247
74	247
55	247
35	248
24	248
6	248
82	248
61	248
65	249
70	249
105	249
125	249
119	249
157	249
